Año de Fecha,Tipo Huevo,Canal,Ciudad ,Uds,Prom. Uds,Precio Full,Precio,Costo Pcc ,Empaque ,Clasificación ,Almacenamiento,1era Milla,Admon UM/Huevo,Log UM Veh,Total Ccial UM,Ccial UM,Mercaderismo,Staff ,Mercadeo ,Otros G.Venta,Admon ,Depreciaciones,Dev Total ,Averías Post Entrega,EBITDA (Ccial Ajustado)/Huevo,Mg. Ebitda Ccial,Prom. Dias Cartera,Cartera,Ebitda (Cartera),Mg Ebitda.
2025,AA,MY,BOGOTA,"726,551","145,310",285.08,285.08,286.71,7.67,15.92,3.61,35.15,0,0,1.89,1.89,0,0.72,0,3.29,9.77,8.68,0.44,0,-71.42,-0.25,12,2.29,-73.71,-0.26
2025,AA,MY,CALI,"1,579,890","394,973",347.81,347.81,287.67,7.77,15.38,3.76,7.65,0,0,2.43,2.43,0,0.69,0,3.13,11.09,8.28,0.29,0,16.21,0.05,9,0.28,15.93,0.05
2025,AA,MY,MEDELLIN,"216,761","72,254",366.03,366.03,287.94,7.76,15.67,3.92,27.9,0,0,3.8,3.8,0,0.69,0,3.02,11.79,8.19,0,0,11.74,0.03,30,5.35,6.38,0.02
2025,AA,MY,NEIVA,"680,340","226,780",366.99,366.99,288.17,7.82,15.3,3.78,28.11,0,0,2.75,2.75,0,0.7,0,3.1,11.65,8.12,0.02,0,13.72,0.04,24,1.63,12.09,0.03
2025,AA,MY,PASTO,"5,451,432","1,090,286",359.23,359.23,287.96,7.79,15.45,3.79,18.7,0,0,2.93,2.93,0,0.7,0,3.11,11.44,8.21,0.03,0,15.56,0.04,12,0.46,15.1,0.04
2025,AA,MY,POPAYAN,"1,468,320","367,080",326.85,326.85,288.48,7.87,14.97,3.56,14.23,0,0,2.05,2.05,0,0.71,0,3.26,11.21,8.16,0,0,-11.33,-0.03,15,0.74,-12.07,-0.04
2025,AA,TAT,BARRANQUILLA,"17,334,656","2,889,109",418.45,418.45,289.71,12.29,16.66,3.73,13.51,8.56,11.37,22.51,22.51,0,1.36,4.31,5.8,21.79,8.37,0,0,15.21,0.04,0,0,17.11,0.04
2025,AA,TAT,BOGOTA,"25,811,074","4,301,846",440.41,440.41,290.5,13.4,17.52,3.82,16.77,14.15,10.28,28.09,28.09,0,1.35,4.75,5.68,21.21,8.39,0,0,21.27,0.05,0,0,24.8,0.06
2025,AA,TAT,BUCARAMANGA,"7,515,289","1,252,548",422.93,422.93,290.05,10.85,16.66,3.77,4.24,8.12,14.02,33.6,33.6,0,1.34,4.51,5.64,21.21,8.37,0.02,0,17.26,0.04,0,0,19.5,0.05
2025,AA,TAT,CALI,"10,263,703","1,710,617",442.16,442.16,290.16,10.9,16.62,3.79,5.82,14.24,11.22,27.36,27.36,0,1.34,4.62,5.63,21.14,8.37,0,0,37.71,0.09,0,0,39.88,0.09
2025,AA,TAT,CARTAGENA,"1,503,587","250,598",472.11,472.11,290.19,30.25,20.32,3.8,23.04,13.84,4.23,17.72,17.72,0,1.51,5.31,6.42,23.89,8.37,0,0,39.97,0.08,0,0,43.67,0.09
2025,AA,TAT,CUCUTA,"11,446,464","1,907,744",406.98,406.98,289.82,10.9,16.71,3.75,12.54,11.41,11.74,25.43,25.43,0,1.34,4.41,5.68,21.39,8.36,0,0,0.21,0,0,0,0.71,0
2025,AA,TAT,MEDELLIN,"16,220,515","2,703,419",427.78,427.78,290.15,10.86,16.72,3.77,16.1,16.98,12.05,20.66,20.66,0,1.34,4.53,5.64,21.15,8.37,0,0,16.19,0.04,0,0,24.19,0.06
2025,AA,TAT,MONTERIA,"1,095,375","182,563",431.29,431.29,288.72,12.66,16.64,3.7,28.07,9.83,10.71,21.11,21.11,0,1.36,4.44,5.85,22.31,8.33,0,0,14.23,0.03,0,0,17.18,0.04
2025,AA,TAT,PASTO,"31,064,085","5,177,348",420.82,420.82,290.11,9.39,16.1,3.77,18.07,6.08,6.27,18.01,18.01,0,1.33,4.48,5.6,21.04,8.37,0,0,28.94,0.07,0,0,29.52,0.07
